"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","06/05/2021","23400"
"2020-21","Political Campaigner Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","01/06/2021","31320"
"2020-21","Political Campaigner Return","Business Council of Australia","Department of Foreign Affairs and Trade","05/08/2020","150000"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","23/12/2020","60876"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","22/12/2020","36957"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","21/04/2021","25911"
"2020-21","Political Campaigner Return","Business Council of Australia","The Treasury","29/01/2021","60876"
"2020-21","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","30/08/2020","12500"
"2020-21","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","01/07/2020","12500"
"2020-21","Associated Entity Return","CEPU Communications Division (CWU QLD Branch)","ATO Covid-19 Payment","20/01/2021","25000"
"2020-21","Associated Entity Return","Health & Community Services Union Vic No. 2 HSU","DEPT HEALTH","29/06/2021","55000"
"2020-21","Political Party Return","Liberal Party of Australia","Department of Finance","06/07/2020","155208"
"2020-21","Political Party Return","Liberal Party of Australia","Department of Finance","24/02/2021","97860"
"2020-21","Political Party Return","Liberal Party of Australia","Department of Finance","02/11/2020","1100000"
"2020-21","Significant Third Party Return","Master Builders Australia Ltd","Dept Prime Minister and Cabinet","26/02/2021","247500"
"2020-21","Significant Third Party Return","Master Builders Australia Ltd","Dept Prime Minister and Cabinet","17/11/2020","466400"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","17/02/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of The Chief Minister & Cabinet","23/02/2021","90"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Treasury and Finance","10/08/2020","425"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","20/10/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","29/07/2020","255"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department Of Foreign Affairs And Trade","02/03/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","29/10/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","12/02/2021","90"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","03/03/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","10/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","28/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","25/02/2021","180"
