"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2023-24","A.C.N. 010 507 614 Pty Ltd","","Liberal National Party of Queensland; ","38536","86502","0","0","0"
"2023-24","ACT Labor Property Pty Ltd","","Australian Labor Party (ACT Branch); ","0","0","0","0","0"
"2023-24","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","","Australian Labor Party (South Australian Branch); ","64718","55129","0","0","0"
"2023-24","Animal Justice Foundation Pty Ltd","","Animal Justice Party; ","52158","64106","0","0","0"
"2023-24","ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch","","Australian Labor Party (N.S.W. Branch); ","971998","1032989","8065","0","0"
"2023-24","ASU Victorian Private Sector Branch","","Australian Labor Party (Victorian Branch); ","3021881","3145326","27179","0","0"
"2023-24","Australasian Meat Industry Employees Union - Newcastle, Northern, South Australian & Tasmanian Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (South Australian Branch); ","1542592","1971584","73659","0","0"
"2023-24","Australasian Meat Industry Employees' Union - NSW Branch","AMIEU NSW Branch","Australian Labor Party (N.S.W. Branch); ","1460595","1724063","61302","0","0"
"2023-24","Australasian Meat Industry Employees' Union - QWANT Branch","Queensland Western Australia and Northern Territory Branch","Australian Labor Party (State of Queensland); ","2238256","2267072","0","0","0"
"2023-24","Australasian Meat Industry Employees Union SA & WA Branch","South and Western Australia Branch","Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch); ","0","0","0","0","0"
"2023-24","Australasian Meat Industry Employees Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","902936","957484","44935","0","0"
"2023-24","Australian Federated Union of Locomotive Employees","","Australian Labor Party (State of Queensland); ","1162773","1204668","77149","0","0"
"2023-24","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Queensland Together Branch","Australian Labor Party (State of Queensland); ","20454038","20386352","830141","0","0"
"2023-24","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","","Australian Labor Party (State of Queensland); ","9205344","9202089","647014","0","0"
"2023-24","Australian Rail Tram & Bus Industry Union New South Wales Branch","","Australian Labor Party (N.S.W. Branch); ","12551699","16426109","1076995","0","0"
"2023-24","Australian Rail Tram & Bus Industry Union SA/NT","","Australian Labor Party (South Australian Branch); ","749148","726326","0","0","0"
"2023-24","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Labor Party (State of Queensland); ","4288316","4257581","295809","0","0"
"2023-24","Australian Rail Tram & Bus Union (Victorian Branch)","","Australian Labor Party (Victorian Branch); ","7073065","6239004","111573","0","0"
"2023-24","Australian Rail Tram and Bus Industry Union, Western Australia Branch","Australian Rail Tram and Bus Industry Union of Employees, Western Australia Branch","Australian Labor Party (Western Australian Branch); ","1404123","1328596","32156","0","0"
"2023-24","Australian Rail,Tram & Bus Industry - TAS Branch","","Australian Labor Party (Tasmanian Branch); ","0","0","0","0","0"
"2023-24","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","12682644","12625101","2659","0","0"
"2023-24","Australian Services Union of NSW & ACT (Services) Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","10490438","8330894","467884","0","0"
"2023-24","Australian Services Union SA - NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","7504898","7158766","88242","0","0"
