"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2010-2011","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (ALP); ","1311332","1310660","32804","0","0"
"2010-2011","AWU Port Kembla Branch","","Australian Labor Party (N.S.W. Branch); ","1602768","2088725","607012","0","0"
"2010-2011","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","7693","21998","0","0","0"
"2010-2011","Bayside Forum","","Liberal Party of Australia (Victorian Division); ","120647","182406","1665","0","0"
"2010-2011","Bendigo 250 Club","","Liberal Party of Australia (Victorian Division); ","10462","14591","0","0","0"
"2010-2011","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","49802","150387","0","0","0"
"2010-2011","Blind Workers Union of Victoria","","Australian Labor Party (Victorian Branch); ","8443","6391","0","0","0"
"2010-2011","Bulleen Supporters Group","","Liberal Party of Australia (Victorian Division); ","2589","75630","0","0","0"
"2010-2011","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","2314039","2385711","1991783","0","0"
"2010-2011","Business First","","Liberal Party of Australia (Victorian Division); ","25521","37877","0","0","0"
"2010-2011","Canberra Labor Club Limited","","Australian Labor Party (ALP); ","74912256","80705213","10879411","0","0"
"2010-2011","Caulfield Challenge 200 Club","","Liberal Party of Australia (Victorian Division); ","36325","24986","0","0","0"
"2010-2011","CEC Australia (Services) Pty Ltd","","Citizens Electoral Council of Australia; ","1994080","1989671","1108736","0","0"
"2010-2011","CEPU - Electrical Division QLD & NT ","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","8134292","7888517","545833","0","0"
"2010-2011","CEPU (T&S) NSW Branch","","Australian Labor Party (N.S.W. Branch); ","704582","759034","41351","0","0"
"2010-2011","CEPU Communications Division - Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","292398","821448","0","0","0"
"2010-2011","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","1814445","2288592","0","0","0"
"2010-2011","CEPU Communications Division (CWU QLD Branch)","","Australian Labor Party (ALP); ","52687","22855","0","0","0"
"2010-2011","CEPU Communications Division SA/NT Branch","","Australian Labor Party (South Australian Branch); ","1018727","1117449","256372","0","16260"
"2010-2011","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","1918352","1609498","0","0","0"
"2010-2011","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (ALP); ","3225166","2628549","0","0","0"
"2010-2011","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1762000","1609559","168332","0","0"
"2010-2011","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); ","927947","889549","203660","0","0"
"2010-2011","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (State of Queensland); ","2005900","1661972","283283","0","0"
"2010-2011","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","6364909","5965266","4234660","0","0"
"2010-2011","CEPU T & S Victorian Branch","","Australian Labor Party (ALP); ","985477","1234362","0","0","0"
"2010-2011","CFMEU - Construction and General Division (NT)","CFMEU Construction &General WA Divisional Branch Northern Territory Office","Australian Labor Party (Northern Territory) Branch; ","249802","160218","0","0","0"
"2010-2011","CFMEU - Mining and Energy Division - Tas","","Australian Labor Party (Tasmanian Branch); ","201109","201109","0","0","50000"
"2010-2011","CFMEU - Mining Division (Nth NSW District)","","Australian Labor Party (ALP); ","30481723","30801001","829731","0","0"
"2010-2011","CFMEU C & G Division (TAS)","","Australian Labor Party (Tasmanian Branch); ","366020","355739","10500","0","0"
"2010-2011","CFMEU Construction and General Division, New South Wales Divisional Branch","","Australian Labor Party (ALP); ","13464280","15093969","0","0","0"
"2010-2011","CFMEU FFPD Division ","","Australian Labor Party (South Australian Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","7386872","7178650","132922","0","0"
"2010-2011","CFMEU Mining & Energy Division (Qld District Branch)","","Australian Labor Party (ALP); ","14861394","14187836","2814560","0","0"
"2010-2011","CFMEU Mining & Energy Division, NSW Energy District","","Australian Labor Party (N.S.W. Branch); ","770206","886209","24884","0","0"
"2010-2011","CFMMEU - Maritime Union of Australia Division","","Australian Labor Party (ALP); ","13686585","13543658","451843","0","0"
"2010-2011","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","9848","28671","0","0","0"
"2010-2011","Citizens Media Group Pty Ltd","","Citizens Electoral Council of Australia; ","76021","76008","235475","0","0"
"2010-2011","CLP Gifts & Legacies Pty Ltd","","Country Liberals (Northern Territory); ","40378","40538","0","0","0"
"2010-2011","Coal Miners Industrial Union of Workers of WA Collie","","","407517","427865","11704","0","0"
"2010-2011","Communication Workers Union Central Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","3569639","3111467","228424","0","0"
"2010-2011","Community and Public Sector Union (PSU Group)","","Australian Labor Party (ALP); ","27902705","27194189","1635069","0","0"
"2010-2011","Construction Forestry Maritime Mining & Energy Union The Construction & General Division ACT Divisional Branch","","Australian Labor Party (ACT Branch); ","2826795","2263797","91998","0","0"
"2010-2011","Construction Forestry Mining & Energy, Industrial Union of Employees, Queensland - Construction and General Division","","Australian Labor Party (State of Queensland); ","15507090","13742983","448560","0","0"
"2010-2011","Cormack Foundation Pty Ltd","","Liberal Party of Australia; ","2893623","4350156","11205","0","0"
"2010-2011","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","42887","36632","0","0","0"
"2010-2011","Deakin Executive Forum","","Liberal Party of Australia (Victorian Division); ","0","31000","0","0","0"
"2010-2011","Dunkley Blue Ribbon Club","","Liberal Party of Australia (Victorian Division); ","22831","75321","0","0","0"
"2010-2011","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); ","8529085","8123279","91188","0","0"
"2010-2011","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","730461","555283","89936","0","0"
"2010-2011","EMILY's List Australia","","Australian Labor Party (ALP); Australian Labor Party (Victorian Branch); ","369422","338703","36922","0","0"
"2010-2011","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","17275","27784","0","0","0"
"2010-2011","Fed. Ironworkers Assoc. of Aust (QLD Br) Union of Employees","","Australian Labor Party (State of Queensland); ","26000","25702","0","0","0"
"2010-2011","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","1619702","1619702","0","0","0"
"2010-2011","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","923746","923746","0","0","0"
"2010-2011","Finance Sector Union of Australia - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","3651736","3651736","3651736","0","0"
"2010-2011","Flight Attendants Association of Australia - National Division","","Australian Labor Party (ALP); ","1907625","2178251","104947","0","0"
"2010-2011","Forward Brisbane Leadership","","Liberal National Party of Queensland; ","696716","528987","13433","0","0"
"2010-2011","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","24438","292","0","0","0"
"2010-2011","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","520","667","0","0","0"
"2010-2011","Greater Eastern Network 200 Club","","Liberal Party of Australia (Victorian Division); ","44","20","0","0","0"
"2010-2011","Health & Community Services Union Vic No. 2 HSU","","Australian Labor Party (Victorian Branch); ","3026788","3059153","191971","0","0"
"2010-2011","Health Services Union SA Branch","","Australian Labor Party (South Australian Branch); ","296061","257432","132576","0","0"
"2010-2011","Health Services Union, Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","3228659","3070426","77723","0","0"
"2010-2011","Higgins 200 Club","","Liberal Party of Australia (Victorian Division); ","215177","244576","0","0","0"
"2010-2011","Higgins Foundation Ltd","","Liberal Party of Australia (Victorian Division); ","53840","22174","0","0","0"
"2010-2011","HSU East","","Australian Labor Party (N.S.W. Branch); ","31487092","31293802","18881204","0","0"
"2010-2011","Industrial Staff Union","","Australian Labor Party (ALP); ","23645","6874","0","0","0"
"2010-2011","John Curtin House Limited","","Australian Labor Party (ALP); ","3728190","2743700","4666584","0","0"
"2010-2011","John McEwen House Pty Ltd","","National Party of Australia; ","1102418","1005546","2384347","0","0"
"2010-2011","Kaye Sutherland Memorial Bequest Fund","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2010-2011","Kooyong 200 Club","","Liberal Party of Australia (Victorian Division); ","79928","62961","0","0","0"
"2010-2011","Labor Campaign Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","2204","0","162732","0","0"
"2010-2011","Labor Holdings Pty Ltd","","Australian Labor Party (State of Queensland); ","9345059","9269068","12700849","0","0"
"2010-2011","Labour Movement Education Association Inc.","","Australian Labor Party (ALP); ","24083","20171","0","0","0"
"2010-2011","Liberal Asset Management (Custodians) Limited","","Liberal Party of Australia, NSW Division; ","122354","212298","8148","0","0"
"2010-2011","Liberal Building Foundation","","Liberal Party of Australia - Tasmanian Division; ","0","0","0","0","0"
"2010-2011","Liberal Club Limited","","Liberal Party of Australia (S.A. Division); ","121166","121834","161899","0","0"
"2010-2011","Liberal Properties Limited","","Liberal Party of Australia, NSW Division; ","668996","751181","124874","0","0"
"2010-2011","LPPH Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","83915","79429","485724","0","0"
"2010-2011","Mallen's Colac Hotel Pty Ltd","","Australian Labor Party (South Australian Branch); ","61914","13827","0","0","0"
"2010-2011","Media Entertainment & Arts Alliance","","Australian Labor Party (ALP); ","13746563","12984876","1340970","0","0"
"2010-2011","Mehring Books Pty Ltd","","Socialist Equality Party; ","102097","103204","19365","0","0"
"2010-2011","Menzies 200 Club","","Liberal Party of Australia (Victorian Division); ","47033","93111","6450","0","0"
"2010-2011","Mornington Gold","","Liberal Party of Australia (Victorian Division); ","34056","31146","0","0","0"
"2010-2011","National Club Limited","","Liberal Party of Australia, NSW Division; ","732775","873929","483750","0","0"
"2010-2011","National Union of Workers - General Branch","","Australian Labor Party (ALP); ","3792875","6295460","0","0","0"
"2010-2011","National Union of Workers - National Office","","Australian Labor Party (ALP); ","9627152","13002608","112966","0","0"
"2010-2011","National Union of Workers - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","5722565","6214352","1192268","0","0"
"2010-2011","National Union of Workers - Victorian Branch","","Australian Labor Party (ALP); ","18972729","17611987","544512","0","0"
"2010-2011","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","Australian Labor Party (ALP); ","14063758","13530169","3212520","0","0"
"2010-2011","North West 200 Club","","Liberal Party of Australia (Victorian Division); ","20085","30683","0","0","0"
"2010-2011","Northern Territory ALP Investment Trust","","Australian Labor Party (Northern Territory) Branch; ","35750","91104","122025","0","0"
"2010-2011","NSW Labor Campaign Investment Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","1123673","1180208","111449","0","0"
"2010-2011","NTN Services ","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","181272","142076","27466","0","0"
"2010-2011","OUTER EASTERN Platinum Club","","Liberal Party of Australia (Victorian Division); ","145027","300258","0","0","0"
"2010-2011","Parakeelia Pty Ltd","","Liberal Party of Australia; ","1090686","982291","44032","0","0"
"2010-2011","Parliamentary Liberal Party Communication Committee (Victoria)","","Liberal Party of Australia (Victorian Division); ","40996","24921","0","0","0"
"2010-2011","Perth Trades Hall Inc","","Australian Labor Party (Western Australian Branch); ","109901","124708","0","0","0"
"2010-2011","Progressive Business Association Inc","","Australian Labor Party (Victorian Branch); ","1688969","1827778","234366","0","0"
"2010-2011","Queensland Nurses Union of Employees","","Australian Labor Party (State of Queensland); ","18115470","16676645","557585","0","0"
"2010-2011","Queensland Services, Industrial Union of Employees","","Australian Labor Party (ALP); ","1709653","1444529","16939","0","0"
"2010-2011","SA Progressive Business Incorporated","","Australian Labor Party (South Australian Branch); ","508291","483490","15666","0","0"
"2010-2011","Scoresby City Club","","Liberal Party of Australia (Victorian Division); ","59497","79327","0","0","0"
"2010-2011","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","","Australian Labor Party (N.S.W. Branch); ","3070813","3211569","0","0","0"
"2010-2011","Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office","","Australian Labor Party (ALP); ","16979107","17471989","955098","0","0"
"2010-2011","Shop Distributive & Allied Employees Association - Tasmanian Branch","","Australian Labor Party (ALP); ","1669556","1519760","197042","0","0"
"2010-2011","Shop Distributive & Allied Employees Association - VIC Branch","Shop, Distributive & Allied Employees Association Victorian Branch","Australian Labor Party (Victorian Branch); ","13616430","13748501","987248","0","0"
"2010-2011","Shop Distributive & Allied Employees' Association NSW Branch","","Australian Labor Party (N.S.W. Branch); ","861222","312952","2850","0","0"
"2010-2011","Shop Distributive and Allied Employees Association (QLD Branch)","","Australian Labor Party (ALP); ","12164356","13859940","2830548","0","0"
"2010-2011","Shop, Distributive & Allied Employees' Association - National","","Australian Labor Party (ALP); ","8577475","4686895","203996","0","0"
"2010-2011","Shop, Distributive and Allied Employees Association, South Australia","","Australian Labor Party (South Australian Branch); ","6481823","6696264","234117","0","0"
"2010-2011","Shop, Distributive and Allied Employees Association, South Australian and Northern Territory Branch","","Australian Labor Party (ALP); ","1356093","1298925","30606","0","0"
"2010-2011","Sir Charles Court Foundation","","Liberal Party (W.A. Division) Inc.; ","697217","22806","0","0","0"
"2010-2011","Team 200 Club","","Liberal Party of Australia (Victorian Division); ","102797","87258","0","0","0"
"2010-2011","Textile Clothing and Footwear Union of Aust - NSW, TAS, SA Br","","Australian Labor Party (N.S.W. Branch); ","1939711","1801566","86179","0","0"
"2010-2011","Textiles, Clothing & Footwear Union (Vic & Qld & WA) Branch","","Australian Labor Party (Victorian Branch); ","2289000","2197686","36555","0","0"
"2010-2011","The 500 Club (VIC)","","Liberal Party of Australia (Victorian Division); ","1264754","1341168","0","0","0"
"2010-2011","The 500 Club Inc","","Liberal Party (W.A. Division) Inc.; ","628574","652253","7324","0","0"
"2010-2011","The Australian Workers' Union - Greater NSW Branch","","Australian Labor Party (ALP); ","5915752","5131215","37963","0","0"
"2010-2011","The Australian Workers Union - Newcastle Central Coast & Northern Regions Branch","","Australian Labor Party (ALP); ","2374908","2092830","827808","0","0"
"2010-2011","The Australian Workers' Union of Employees Queensland","","Australian Labor Party (State of Queensland); ","17280422","20647547","4785747","0","0"
"2010-2011","The Australian Workers' Union Victorian Branch","","Australian Labor Party (ALP); ","9557700","9378756","639249","0","0"
"2010-2011","The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia","","Australian Labor Party (Western Australian Branch); ","770746","572166","157244","0","189"
"2010-2011","The Chifley Research Centre Ltd","","Australian Labor Party (ALP); ","264254","287112","52324","0","0"
"2010-2011","The Federation of Hunting Clubs Inc","","Shooters and Fishers Party; ","36765","39742","1980","0","0"
"2010-2011","The Food Preservers' Union of Western Australia Union of Workers","","Australian Labor Party (Western Australian Branch); ","60309","70435","5393","0","0"
"2010-2011","The Free Enterprise Foundation","","National Party of Australia; Liberal Party of Australia; ","1157726","1146000","0","0","0"
"2010-2011","The Geelong 500 Club Inc","","Liberal Party of Australia (Victorian Division); ","13515","36050","0","0","0"
"2010-2011","The Green Institute Limited","","Australian Greens; ","84851","89413","7736","0","0"
"2010-2011","The Greenfields Foundation","","Liberal Party of Australia; ","50013","65304","0","0","0"
"2010-2011","The Lady Wilson Foundation","","Liberal Party of Australia (S.A. Division); ","4299","60","770","0","0"
"2010-2011","The Liberal Foundation Inc","","Liberal Party of Australia (S.A. Division); ","87133","92899","0","0","0"
"2010-2011","The Liberal Party of Western Australia Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","508540","2965425","25835","0","0"
"2010-2011","The Menzies Research Centre Limited","","Liberal Party of Australia; ","634764","425726","61290","0","0"
"2010-2011","The Monash Club","","Liberal Party of Australia (Victorian Division); ","26985","25977","0","0","0"
"2010-2011","The Page Research Centre Ltd","","National Party of Australia; ","101615","58653","5340","0","0"
"2010-2011","The Sapphire Club","","Liberal Party of Australia (Victorian Division); ","28033","38352","0","0","0"
"2010-2011","The Shop, Distributive & Allied Employees' Association of Western Australia","","Australian Labor Party (Western Australian Branch); ","6629883","6193913","894844","0","0"
"2010-2011","The Sydney Small Business Club (The Warringah Club)","","Liberal Party of Australia; ","116234","157187","0","0","0"
"2010-2011","The United Professional Firefighters Union of Western Australia","","Australian Labor Party (Western Australian Branch); ","3282951","2391665","52058","0","0"
"2010-2011","The Violet Bobin Trust","","Australian Labor Party (State of Queensland); ","23726","30968","0","0","0"
"2010-2011","Transport Workers Union (WA Branch)","","Australian Labor Party (Western Australian Branch); ","4170196","3999146","0","0","0"
"2010-2011","Transport Workers Union of Australia - Federal Council","","Australian Labor Party (ALP); ","4351029","4505487","1342480","0","0"
"2010-2011","Transport Workers Union of Australia - NSW Branch","","Australian Labor Party (ACT Branch); ","1489167","1672243","140207","0","0"
"2010-2011","Transport Workers Union of Australia NSW QLD Interim Governance Branch formerly Transport Workers Union of Australia Queensland","","Australian Labor Party (ALP); ","3804269","4043225","0","0","0"
"2010-2011","Transport Workers Union of Australia SA/NT Branch","Gas Industry Sub Branch ","Australian Labor Party (South Australian Branch); Australian Labor Party (ALP); ","2246017","1840281","128738","0","0"
"2010-2011","Transport Workers Union of New South Wales","","Australian Labor Party (N.S.W. Branch); ","10649104","11716782","1561736","0","0"
"2010-2011","Transport Workers Union VIC/TAS Branch","","Australian Labor Party (ALP); ","6781117","6809637","573063","0","0"
"2010-2011","United Firefighters Union of Australia - ACT Branch","","Australian Labor Party (ACT Branch); ","189710","180855","0","0","0"
"2010-2011","United Firefighters Union of Australia QLD Branch","","Australian Labor Party (ALP); ","1208732","986648","13441","0","0"
"2010-2011","United Firefighters Union of Australia Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","271027","261821","0","0","0"
"2010-2011","United Firefighters Union of Australia VIC","","Australian Labor Party (Victorian Branch); ","3034635","2196000","175249","0","0"
"2010-2011","United Firefighters Union of SA Inc","","Australian Labor Party (ALP); ","651291","512651","8792","0","0"
"2010-2011","United Workers Union","","Australian Labor Party (ALP); ","66850558","65976802","1861826","0","0"
"2010-2011","Vapold Pty Ltd","","Liberal Party of Australia (Victorian Division); ","650449","816094","126133","0","0"
"2010-2011","Western Australian Municipal, Administrative, Clerical and Services Union of Employees","","Australian Labor Party (Western Australian Branch); ","96995","2524","0","0","774"
"2010-2011","Western Australian Prison Officers' Union of Workers","","Australian Labor Party (Western Australian Branch); ","1671070","1320971","162429","0","0"
"2010-2011","Yarra Plenty Womens Group","","Liberal Party of Australia (Victorian Division); ","2302","5762","1020","0","0"
"2010-2011","YLNP No. 1 Ltd (James Killen Foundation)","","Liberal National Party of Queensland; ","56876","98557","0","0","0"
"2009-2010","A.C.N. 009 936 010 Pty Ltd","","Liberal National Party of Queensland; ","6244267","6209454","7670339","0","0"
"2009-2010","A.C.N. 010 507 614 Pty Ltd","","Liberal National Party of Queensland; ","6835168","6981840","5933208","0","0"
"2009-2010","AADB Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2009-2010","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","","Australian Labor Party (South Australian Branch); ","130000","185324","1061167","0","0"
"2009-2010","Altum Pty Ltd as Trustee for the Altum Head Quarters Trust","","Liberal National Party of Queensland; ","216669","1826260","750987","0","0"
"2009-2010","ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch","","Australian Labor Party (ALP); ","754284","756964","217103","0","0"
"2009-2010","ASU Victorian Private Sector Branch","","Australian Labor Party (Victorian Branch); ","2158279","2265082","98468","0","0"
"2009-2010","Aust Building Const Employees & Builders Labour Fed (QLD Br)","","Australian Labor Party (ALP); ","3518103","5102896","190736","0","0"
"2009-2010","Australasian Meat Industry Employees Union - Federal Council","","Australian Labor Party (ALP); ","321453","321005","0","0","0"
"2009-2010","Australasian Meat Industry Employees Union - Newcastle, Northern, South Australian & Tasmanian Branch","","Australian Labor Party (N.S.W. Branch); ","916400","805743","34023","0","0"
"2009-2010","Australasian Meat Industry Employees' Union - NSW Branch","","Australian Labor Party (N.S.W. Branch); ","1270684","1029655","76979","0","0"
"2009-2010","Australasian Meat Industry Employees' Union - QWANT Branch","","Australian Labor Party (State of Queensland); ","2466812","2203495","0","0","0"
"2009-2010","Australasian Meat Industry Employees Union (Tasmanian Branch)","AMIEU Tas Branch","Australian Labor Party (Tasmanian Branch); ","228884","234831","108974","0","0"
"2009-2010","Australasian Meat Industry Employees Union SA & WA Branch","","Australian Labor Party (South Australian Branch); ","30000","1810","0","0","0"
"2009-2010","Australasian Meat Industry Employees Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","1404112","1374111","500519","0","0"
"2009-2010","Australian Federated Union of Locomotive Employees","","Australian Labor Party (ALP); ","719254","726809","0","0","0"
"2009-2010","Australian Institute of Marine and Power Engineers","AIMPE Sydney Branch; AIMPE Victoria/Tasmania Branch; AIMPE Newcastle Branch; AIMPE Western Australian Branch; AIMPE South Australia Branch; AIMPE Queensland Branch; AIMPE North Territory Sub Branch","Australian Labor Party (ALP); ","2202534","1903732","0","0","0"
"2009-2010","Australian Labor Party - Holdings Pty Ltd","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2009-2010","Australian Labor Party (Legacies and Gifts) Ltd","","Australian Labor Party (ALP); ","0","0","0","0","0"
"2009-2010","Australian Labor Party (NSW) Gifts Pty Ltd","","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2009-2010","Australian Labor Party Sisterhood","","Australian Labor Party (ALP); ","6082","6250","0","0","0"
"2009-2010","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","","Australian Labor Party (State of Queensland); ","2826165","1885734","121846","0","0"
"2009-2010","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","","Australian Labor Party (ALP); ","5460334","5224081","143852","0","0"
"2009-2010","Australian Rail Tram & Bus Industry Union New South Wales Branch","","Australian Labor Party (ALP); ","9296216","11160218","432126","0","0"
"2009-2010","Australian Rail Tram & Bus Industry Union SA/NT","","Australian Labor Party (South Australian Branch); ","806890","848498","0","0","0"
"2009-2010","Australian Rail Tram & Bus Industry Union, Queensland Branch","","Australian Labor Party (State of Queensland); ","3718430","3369199","355292","0","0"
"2009-2010","Australian Rail Tram & Bus Union (Victorian Branch)","","Australian Labor Party (Victorian Branch); ","3357291","2519486","493500","0","0"
"2009-2010","Australian Rail Tram and Bus Industry Union, Western Australia Branch","","Australian Labor Party (Western Australian Branch); ","677542","619688","12729","0","0"
"2009-2010","Australian Rail,Tram & Bus Industry - TAS Branch","","Australian Labor Party (Tasmanian Branch); ","97927","30889","0","0","0"
"2009-2010","Australian Services Union - Tasmania","","Australian Labor Party (ALP); ","701309","699969","194015","0","0"
"2009-2010","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","","Australian Labor Party (ALP); ","8539300","8207526","2089062","0","0"
"2009-2010","Australian Services Union NQ Clerical & Admin Branch","","Australian Labor Party (State of Queensland); ","264978","245494","71480","0","0"
"2009-2010","Australian Services Union of NSW & ACT (Services) Branch","","Australian Labor Party (N.S.W. Branch); ","4201836","4291117","717081","0","0"
"2009-2010","Australian Services Union SA - NT Branch","Australian Services Union SA-NT Branch","Australian Labor Party (South Australian Branch); ","3060712","3139645","50080","0","0"
"2009-2010","Australian Workers Union - National Office","","Australian Labor Party (N.S.W. Branch); ","5539872","4365213","190237","0","0"
"2009-2010","Australian Workers Union SA Branch","","Australian Labor Party (ALP); ","2680652","2583611","0","0","0"
"2009-2010","Australian Workers Union WA Branch","","Australian Labor Party (Western Australian Branch); ","3104541","3232652","480810","0","0"
"2009-2010","Automotive Food Metals Engineering Printing & Kindred Ind. Union","AFMEPKIU NATIONAL COUNCIL; AFMEPKIU NSW STATE COUNCIL; AFMEPKIU VICTORIA STATE COUNCIL; AFMEPKIU QUEENSLAND STATE COUNCIL; AFMEPKIU SOUTH AUSTRALIA STATE COUNCIL; AFMEPKIU WESTERN AUSTRALIA STATE COUNCIL; AFMEPKIU TASMANIA STATE COUNCIL","Australian Labor Party (ALP); ","55959362","50812465","1024899","0","0"
"2009-2010","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (ALP); ","1207318","1135210","39277","0","0"
"2009-2010","AWU Port Kembla Branch","","Australian Labor Party (N.S.W. Branch); ","1901588","1657905","540514","0","0"
"2009-2010","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","6366","2366","0","0","0"
"2009-2010","Bayside Forum","","Liberal Party of Australia (Victorian Division); ","103854","48974","2793","0","0"
"2009-2010","Bendigo 250 Club","","Liberal Party of Australia (Victorian Division); ","23575","25310","0","0","0"
"2009-2010","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","77861","26021","0","0","0"
"2009-2010","Blind Workers Union of Victoria","","Australian Labor Party (Victorian Branch); ","8871","6666","0","0","0"
"2009-2010","Bulleen Supporters Group","","Liberal Party of Australia (Victorian Division); ","25355","5581","0","0","0"
"2009-2010","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","2097584","2001949","1942009","0","0"
"2009-2010","Business First","","Liberal Party of Australia (Victorian Division); ","28506","2350","0","0","0"
"2009-2010","Canberra Labor Club Limited","","Australian Labor Party (ALP); ","40963248","39133775","2744935","0","0"
"2009-2010","Casey Business Briefing Club","","Liberal Party of Australia (Victorian Division); ","16358","41011","0","0","0"
"2009-2010","Caulfield Challenge 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2009-2010","CEC Australia (Services) Pty Ltd","","Citizens Electoral Council of Australia; ","1928365","1940948","1025503","0","0"
"2009-2010","CEPU - Electrical Division QLD & NT ","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","7094035","6863237","147414","0","0"
"2009-2010","CEPU (T&S) NSW Branch","","Australian Labor Party (N.S.W. Branch); ","784953","833165","49706","0","0"
"2009-2010","CEPU Communications Division - Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","251115","271551","0","0","0"
"2009-2010","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","896315","738164","0","0","0"
"2009-2010","CEPU Communications Division (CWU QLD Branch)","","Australian Labor Party (ALP); ","112608","0","0","0","0"
"2009-2010","CEPU Communications Division SA/NT Branch","","Australian Labor Party (ALP); ","1089065","1149998","255507","0","8757"
"2009-2010","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","1614256","1456569","3788","0","0"
"2009-2010","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (ALP); ","0","16251","0","0","0"
"2009-2010","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1857453","1353682","80486","0","0"
"2009-2010","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","CEPU of Australia NSW","Australian Labor Party (N.S.W. Branch); ","870113","726139","490687","0","0"
"2009-2010","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (ACT Branch); ","1760363","1826703","282865","0","0"
"2009-2010","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","5051813","4904549","2126588","0","0"
"2009-2010","CEPU T & S Victorian Branch","","Australian Labor Party (ALP); ","970610","596499","0","0","0"
"2009-2010","CFMEU - Construction & General Division (WA Branch)","Construciton Forestry Mining & Enegry Union of Australia; Construction Skills Training Centre","Australian Labor Party (Western Australian Branch); ","12639336","11835224","0","0","0"
"2009-2010","CFMEU - Construction and General Division (NT)","CFMEU Construction & General W.A. Divisional Branch, Northern Territory Office","Australian Labor Party (Northern Territory) Branch; ","193103","244488","0","0","0"
