"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2020-21","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141329302","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2020-21","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","40790","Gender Awareness Australia Ltd","53629535271","629 535 271","4950","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2020-21","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2020-21","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","19816","The Australian Workers' Union of Employees Queensland","54 942 536 069","","94138","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","20623","The Wilderness Society","18 611 229 086","611 229 086","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2020-21","19902","Transport Workers Union of New South Wales","77710588395","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2020-21","20118","Victorian Trades Hall Council","57 136 432 771","","44297","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2020-21","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2019-20","15605","Australian Christian Lobby","40 075 120 517","075 120 517","9042","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2019-20","20499","Australian Conservation Foundation Incorporated","22007498482","","0","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2019-20","18736","Australian Rail Tram & Bus Industry Union New South Wales Branch","55090785801","","30720","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2019-20","38546","Bob Brown Foundation Inc","51634785002","","6807","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2019-20","18748","CEPU - Electrical Division QLD & NT ","80450640455","","120889","N/A","N/A","N/A","N/A","N/A","27500","significantthirdparty"
"2019-20","40549","Christian Schools Australia Limited","49 092 580 124","092 580 124","63085","N/A","N/A","N/A","N/A","N/A","25000","thirdparty"
"2019-20","30315","Greenpeace Australia Pacific Limited","61 002 643 852","002 643 852","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2019-20","29623","Health Services Union, Tasmania Branch","80 085 253 953","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2019-20","37940","Melbourne Archdiocese Catholic Schools","85176448204","","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2019-20","36762","Smart Energy Council","3200 6824 148","006824148","0","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2019-20","19816","The Australian Workers' Union of Employees Queensland","54 942 536 069","","119745","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2019-20","37389","The Sunrise Project Australia Limited","65 159 324 697","159 324 697","0","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2019-20","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","40874","Australian Association of Christian Schools","59 125 196 929","125 196 929","24750","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
