"Financial Year","Return Type","ClientFileId","Name","ABN","ACN","Lodged on behalf of","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits","Electoral Expenditure"
"2022-23","Significant Third Party Return","38542","Australian Nursing & Midwifery Federation","41816898298","","Australian Nursing & Midwifery Federation QNMU Branch; Australian Nursing and Midwifery Federation, Northern Territory Branch; Australian Nursing and Midwifery Federation Vic Branch; Australian Nursing & Midwifery Federation South Australia Branch; Australian Nursing & Midwifery Federation WA Branch; Australian Nursing & Midwifery Federation Tasmanian Branch; Australian Nursing & Midwifery Federation NSW Branch; Australian Nursing & Midwifery Federation ACT Branch","123171937","133227006","3735704","1038952","0"
"2022-23","Significant Third Party Return","45554","Australian Nursing & Midwifery Federation (SA Branch) (State Body)","95 969 485 175","","","21072375","24153943","1959967","0","11124"
"2022-23","Significant Third Party Return","41335","Australian Nursing Federation Industrial Union of Workers Perth","79757959435","","","14414143","17014130","615003","0","120948"
"2022-23","Significant Third Party Return","41533","Australian Youth Climate Coalition Limited","67 145 851 912","145 851 912","","2160547","2931278","73730","0","0"
"2022-23","Significant Third Party Return","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","Automotive Food Metals Engineering Printing & Kindred Industries Union WESTERN AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union VICTORIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union TASMANIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union SOUTH AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union QUEENSLAND STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NSW STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NATIONAL COUNCIL","69284845","71453070","1191610","0","145350"
"2022-23","Significant Third Party Return","36451","Business Council of Australia","75 008 483 216","008 483 216","","14915478","13356836","311415","0","0"
"2022-23","Significant Third Party Return","18748","CEPU - Electrical Division QLD & NT ","80450640455","","","227767070","20160412","13363295","0","3220"
"2022-23","Significant Third Party Return","40367","Climate 200 Pty Limited","98 632 816 383","632 816 383","","4692390","3546326","74765","0","1084785"
"2022-23","Significant Third Party Return","4545","Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","60 429 406 804","","CEPU EE&SD – Western Australian Branch; CEPU EE&SD – Tasmanian Branch; CEPU EE&SD - South Australian Branch; CEPU EE&SD - Queensland and Northern Territory Branch; CEPU EE&SD - Victorian Branch; CEPU Electrical, Energy & Services Division (EE&SD) - New South Wales & Australian Capital Territory Branch","68446015","62044576","14034430","1316414","3220"
"2022-23","Significant Third Party Return","21541","Community and Public Sector Union (PSU Group)","30987910747","","","30586799","33006362","1821127","0","0"
"2022-23","Significant Third Party Return","30037","Construction, Forestry, Maritime Employees Union","17402743835","","CFMMEU - Construction & General Division, National Office; CFMMEU - Construction & General Division, ACT Divisional Branch; CFMMEU - Mining and Energy Division, Northern Mining & NSW Energy District Branch; CFMMEU - Mining & Energy Division, Western Australian District Branch; CFMMEU - Mining & Energy Division, Victorian District Branch; CFMMEU - Mining & Energy Division, Tasmanian District Branch; CFMMEU - Mining & Energy Division, Qld District Branch; CFMMEU - Mining & Energy Division South Western District Branch; CFMMEU - Mining & Energy Division - National Office; CFMMEU - Maritime Union of Australia Division; CFMMEU - Manufacturing Division; CFMMEU - Construction & General Division, WA Divisional Branch; CFMMEU - Construction & General Division, VIC/TAS Divisional Branch; CFMMEU - Construction & General Division, South Australian Divisional Branch; CFMMEU - Construction & General Division, Queensland Northern Territory Divisional Branch; CFMMEU - Construction & General Division, New South Wales Divisional Branch","262851788","205961228","18325149","122350","63551"
"2022-23","Significant Third Party Return","42946","Curtin Independent Pty Ltd","15655854452","655 854 452","","0","0","0","0","0"
"2022-23","Significant Third Party Return","14306","Dick Smith","16 015 899 381","","","568","15472","0","0","15472"
"2022-23","Significant Third Party Return","30343","GetUp Limited","99114027986","114 027 986","","7769264","9274405","47341","0","53"
"2022-23","Significant Third Party Return","42814","Hughes Independent Politics Pty Ltd","81 655 053 679","655 053 679","","0","0","0","0","0"
"2022-23","Significant Third Party Return","42958","It's Not A Race Ltd","11 655 404 489","655 404 489","","64774","67040","2431","0","0"
"2022-23","Significant Third Party Return","42808","Kim 4 Canberra Pty Limited","42 653 631 906","","","0","0","0","0","0"
"2022-23","Significant Third Party Return","42811","Kooyong Independent Limited","","","","88437","5063","3850","0","0"
"2022-23","Significant Third Party Return","42809","Kylea Tink Independent Limited ","25 655 238 065","655 238 065","","282253","274902","7522","0","0"
"2022-23","Significant Third Party Return","23060","Master Builders Australia Ltd","68137130182","137130182","","5896902","5845151","1099811","437800","93975"
"2022-23","Significant Third Party Return","47225","Mining and Energy Union","18 128 983 744","","Mining and Energy Union Victorian District Branch; Mining and Energy Union Queensland District Branch; Mining and Energy Union South Western District Branch; Mining and Energy Union Northern Mining and NSW Energy District Branch","86607646","52946292","2101543","122350","28832"
"2022-23","Significant Third Party Return","34439","National Disability Services Limited","52 008 445 485","008 445 485","","19385309","24979072","1436082","8947831","0"
"2022-23","Significant Third Party Return","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","","64743485","65690238","894372","0","0"
"2022-23","Significant Third Party Return","20649","Queensland Teachers Union","62 408 519 861","","","31414408","32527500","1351426","0","67398"
"2022-23","Significant Third Party Return","42989","Smart Voting Pty Ltd","17 657 051 182","657 051 182","","0","0","0","0","0"
"2022-23","Significant Third Party Return","29810","Together Queensland Industrial Union of Employees","","","","529411","308090","4502","0","0"
"2022-23","Significant Third Party Return","18834","United Workers Union","52728088684","","","103946686","110605208","2919800","0","0"
"2022-23","Significant Third Party Return","44881","Victoria Forward Pty Ltd","23641527175","641527175","","324","8971","0","0","0"
"2022-23","Significant Third Party Return","48497","VIDA IMPACT FUND PTY LTD","76 683 675 407","683 675 407","","0","0","0","0","0"
"2022-23","Significant Third Party Return","42979","Voices of Bradfield Inc","","","","3690","5808","0","0","0"
"2022-23","Significant Third Party Return","42187","Vote Angus Out Pty Ltd","","650 853 464","","1708","1994","0","0","0"
"2021-22","Significant Third Party Return","42742","1 in 50 Incorporated","","","","19848","19848","0","0","19848"
